,hanzi,pinyin,translation,ipa,valid_ipa,dolgo,custom_alphabet_5,custom_alphabet_10,custom_alphabet_15,custom_alphabet_20
2728,缠绕,chán rào,twisting,ʈʂʰanʐɑʊ,True,TTVNTVV,BBFACBAD,IIKDCIDH,GOPFKAFB,RFUGAHGO
2729,产业,chǎn yè,industry,ʈʂʰanjɛ,True,TTVNRV,BBFACAA,IIKDCHA,GOPFKLM,RFUGACL
2730,阐述,chǎn shù,to expound (a position),ʈʂʰanʂu,True,TTVNTV,BBFACBD,IIKDCIF,GOPFKOD,RFUGAFK
2731,颤抖,chàn dǒu,to shudder,ʈʂʰantoʊ,True,TTVNTVV,BBFACBDD,IIKDCCAH,GOPFKGIB,RFUGARBO
2732,猖狂,chāng kuáng,savage,ʈʂʰɑŋkʰwɑŋ,True,TTVNKRVN,BBFAEEFDAE,IIKDEEKFDE,GOPFNEPDFN,RFUGPEUQGP
2733,昌盛,chāng shèng,prosperous,ʈʂʰɑŋʂɤŋ,True,TTVNTVN,BBFAEBAE,IIKDEIDE,GOPFNOIN,RFUGPFBP
2734,尝试,cháng shì,to try,ʈʂʰɑŋʂɨ,True,TTVNTV,BBFAEBA,IIKDEIH,GOPFNOL,RFUGPFS
2735,偿还,cháng huán,to repay,ʈʂʰɑŋxwan,True,TTVNKRVN,BBFAEEDAC,IIKDEEFDC,GOPFNEDFK,RFUGPEQGA
2736,常年,cháng nián,all year round,ʈʂʰɑŋnjɛn,True,TTVNNRVN,BBFAECAAC,IIKDECHAC,GOPFNKLMK,RFUGPACLA
2737,常务,cháng wù,routine,ʈʂʰɑŋu,True,TTVNV,BBFAED,IIKDEF,GOPFND,RFUGPK
2738,场合,chǎng hé,situation,ʈʂʰɑŋxɤ,True,TTVNKV,BBFAEEA,IIKDEED,GOPFNEI,RFUGPEB
2739,场面,chǎng miàn,scene,ʈʂʰɑŋmjɛn,True,TTVNMRVN,BBFAECAAC,IIKDEGHAC,GOPFNKLMK,RFUGPICLA
2740,场所,chǎng suǒ,location,ʈʂʰɑŋswɔ,True,TTVNTRV,BBFAEBDA,IIKDEIFA,GOPFNGDI,RFUGPFQB
2741,敞开,chǎng kāi,to open wide,ʈʂʰɑŋkʰaɪ,True,TTVNKVV,BBFAEEFAA,IIKDEEKDH,GOPFNEPFB,RFUGPEUGL
2742,倡导,chàng dǎo,to advocate,ʈʂʰɑŋtɑʊ,True,TTVNTVV,BBFAEBAD,IIKDECDH,GOPFNGFB,RFUGPRGO
2743,倡议,chàng yì,to suggest,ʈʂʰɑŋi,True,TTVNV,BBFAEA,IIKDEH,GOPFNL,RFUGPS
2744,畅通,chàng tōng,unimpeded,ʈʂʰɑŋtʰʊŋ,True,TTVNTVN,BBFAEBFDE,IIKDECKHE,GOPFNGPBN,RFUGPRUOP
2745,畅销,chàng xiāo,to sell well,ʈʂʰɑŋɕjɑʊ,True,TTVNKRVV,BBFAEBAAD,IIKDEBHDH,GOPFNOLFB,RFUGPMCGO
2746,超级,chāo jí,super-,ʈʂʰɑʊtɕi,True,TTVVTKV,BBFADBBA,IIKDHCBH,GOPFBGOL,RFUGORMS
2747,超越,chāo yuè,to surpass,ʈʂʰɑʊɥœ,True,TTVVRV,BBFADDA,IIKDHFA,GOPFBDM,RFUGOQL
2748,钞票,chāo piào,paper money,ʈʂʰɑʊpʰjɑʊ,True,TTVVPRVV,BBFADCFAAD,IIKDHGKHDH,GOPFBCPLFB,RFUGOIUCGO
2749,潮流,cháo liú,tide,ʈʂʰɑʊljoʊ,True,TTVVRRVV,BBFADBADD,IIKDHCHAH,GOPFBJLIB,RFUGOJCBO
2750,潮湿,cháo shī,damp,ʈʂʰɑʊʂɨ,True,TTVVTV,BBFADBA,IIKDHIH,GOPFBOL,RFUGOFS
2751,嘲笑,cháo xiào,to jeer at,ʈʂʰɑʊɕjɑʊ,True,TTVVKRVV,BBFADBAAD,IIKDHBHDH,GOPFBOLFB,RFUGOMCGO
2752,撤退,chè tuì,to retreat,ʈʂʰɤtʰweɪ,True,TTVTRVV,BBFABFDAA,IIKDCKFDH,GOPIGPDMB,RFUBRUQLL
2753,撤销,chè xiāo,to repeal,ʈʂʰɤɕjɑʊ,True,TTVKRVV,BBFABAAD,IIKDBHDH,GOPIOLFB,RFUBMCGO
2754,沉淀,chén diàn,to settle,ʈʂʰəntjɛn,True,TTVNTRVN,BBFACBAAC,IIKACCHAC,GOPBKGLMK,RFULARCLA
2755,沉闷,chén mèn,oppressive (of weather),ʈʂʰənmən,True,TTVNMVN,BBFACCAC,IIKACGAC,GOPBKKBK,RFULAILA
2756,沉思,chén sī,to contemplate,ʈʂʰənsɯ,True,TTVNTV,BBFACBA,IIKACIH,GOPBKGB,RFULAFO
2757,沉重,chén zhòng,heavy,ʈʂʰənʈʂʊŋ,True,TTVNTTVN,BBFACBBDE,IIKACIIHE,GOPBKGOBN,RFULARFOP
2758,沉着,chén zhuó,steady,ʈʂʰənʈʂwɔ,True,TTVNTTRV,BBFACBBDA,IIKACIIFA,GOPBKGODI,RFULARFQB
2759,陈旧,chén jiù,old-fashioned,ʈʂʰəntɕjoʊ,True,TTVNTKRVV,BBFACBBADD,IIKACCBHAH,GOPBKGOLIB,RFULARMCBO
2760,陈列,chén liè,to display,ʈʂʰənljɛ,True,TTVNRRV,BBFACBAA,IIKACCHA,GOPBKJLM,RFULAJCL
2761,陈述,chén shù,an assertion,ʈʂʰənʂu,True,TTVNTV,BBFACBD,IIKACIF,GOPBKOD,RFULAFK
2762,称心如意,chèn xīn rú yì,after one's heart (idiom); gratifying and satisfactory,ʈʂʰənɕinʐui,True,TTVNKVNTVV,BBFACBACBDA,IIKACBHCIFH,GOPBKOLKADL,RFULAMSAHKS
2763,称号,chēng hào,name,ʈʂʰɤŋxɑʊ,True,TTVNKVV,BBFAEEAD,IIKDEEDH,GOPINEFB,RFUBPEGO
2764,盛,chéng,to hold,ʂɤŋ,True,TVN,BAE,IDE,OIN,FBP
2765,橙,chéng,orange tree,ʈʂʰɤŋ,True,TTVN,BBFAE,IIKDE,GOPIN,RFUBP
2766,乘务员,chéng wù yuán,attendant on an airplane,ʈʂʰɤŋuɥœn,True,TTVNVRVN,BBFAEDDAC,IIKDEFFAC,GOPINDDMK,RFUBPKQLA
2767,承办,chéng bàn,to undertake,ʈʂʰɤŋpan,True,TTVNPVN,BBFAECAC,IIKDEGDC,GOPINCFK,RFUBPIGA
2768,承包,chéng bāo,to contract,ʈʂʰɤŋpɑʊ,True,TTVNPVV,BBFAECAD,IIKDEGDH,GOPINCFB,RFUBPIGO
2769,承诺,chéng nuò,to promise,ʈʂʰɤŋnwɔ,True,TTVNNRV,BBFAECDA,IIKDECFA,GOPINKDI,RFUBPAQB
2770,城堡,chéng bǎo,castle,ʈʂʰɤŋpɑʊ,True,TTVNPVV,BBFAECAD,IIKDEGDH,GOPINCFB,RFUBPIGO
2771,成本,chéng běn,(manufacturing,ʈʂʰɤŋpən,True,TTVNPVN,BBFAECAC,IIKDEGAC,GOPINCBK,RFUBPILA
2772,成交,chéng jiāo,to complete a contract,ʈʂʰɤŋtɕjɑʊ,True,TTVNTKRVV,BBFAEBBAAD,IIKDECBHDH,GOPINGOLFB,RFUBPRMCGO
2773,成天,chéng tiān,(coll.) all day long,ʈʂʰɤŋtʰjɛn,True,TTVNTRVN,BBFAEBFAAC,IIKDECKHAC,GOPINGPLMK,RFUBPRUCLA
2774,成效,chéng xiào,effect,ʈʂʰɤŋɕjɑʊ,True,TTVNKRVV,BBFAEBAAD,IIKDEBHDH,GOPINOLFB,RFUBPMCGO
2775,成心,chéng xīn,intentional,ʈʂʰɤŋɕin,True,TTVNKVN,BBFAEBAC,IIKDEBHC,GOPINOLK,RFUBPMSA
2776,成员,chéng yuán,member,ʈʂʰɤŋɥœn,True,TTVNRVN,BBFAEDAC,IIKDEFAC,GOPINDMK,RFUBPQLA
2777,惩罚,chéng fá,penalty,ʈʂʰɤŋfa,True,TTVNPV,BBFAECA,IIKDEGD,GOPINCF,RFUBPNG
2778,诚挚,chéng zhì,sincere,ʈʂʰɤŋʈʂɨ,True,TTVNTTV,BBFAEBBA,IIKDEIIH,GOPINGOL,RFUBPRFS
2779,澄清,chéng qīng,clear (of liquid),tɤŋtɕʰiŋ,True,TVNTKVN,BAEBBFAE,CDECBKHE,GINGOPLN,RBPRMUSP
2780,呈现,chéng xiàn,to appear,ʈʂʰɤŋɕjɛn,True,TTVNKRVN,BBFAEBAAC,IIKDEBHAC,GOPINOLMK,RFUBPMCLA
2781,秤,chèng,steelyard,ʈʂʰɤŋ,True,TTVN,BBFAE,IIKDE,GOPIN,RFUBP
2782,吃苦,chī kǔ,to bear,ʈʂʰɨkʰu,True,TTVKV,BBFAEFD,IIKHEKF,GOPLEPD,RFUSEUK
2783,吃力,chī lì,to entail strenuous effort,ʈʂʰɨli,True,TTVRV,BBFABA,IIKHCH,GOPLJL,RFUSJS
2784,迟缓,chí huǎn,slow,ʈʂʰɨxwan,True,TTVKRVN,BBFAEDAC,IIKHEFDC,GOPLEDFK,RFUSEQGA
2785,迟疑,chí yí,to hesitate,ʈʂʰɨi,True,TTVV,BBFAA,IIKHH,GOPLL,RFUSS
2786,持久,chí jiǔ,lasting,ʈʂʰɨtɕjoʊ,True,TTVTKRVV,BBFABBADD,IIKHCBHAH,GOPLGOLIB,RFUSRMCBO
2787,池塘,chí táng,pool,ʈʂʰɨtʰɑŋ,True,TTVTVN,BBFABFAE,IIKHCKDE,GOPLGPFN,RFUSRUGP
2788,赤道,chì dào,equator (of the earth or astronomical body),ʈʂʰɨtɑʊ,True,TTVTVV,BBFABAD,IIKHCDH,GOPLGFB,RFUSRGO
2789,赤字,chì zì,(financial) deficit,ʈʂʰɨtsɯ,True,TTVTTV,BBFABBA,IIKHCIH,GOPLGGB,RFUSRFO
2790,冲动,chōng dòng,to have an urge,ʈʂʰʊŋtʊŋ,True,TTVNTVN,BBFDEBDE,IIKHECHE,GOPBNGBN,RFUOPROP
2791,冲击,chōng jī,an attack,ʈʂʰʊŋtɕi,True,TTVNTKV,BBFDEBBA,IIKHECBH,GOPBNGOL,RFUOPRMS
2792,冲突,chōng tū,conflict,ʈʂʰʊŋtʰu,True,TTVNTV,BBFDEBFD,IIKHECKF,GOPBNGPD,RFUOPRUK
2793,充当,chōng dāng,to serve as,ʈʂʰʊŋtɑŋ,True,TTVNTVN,BBFDEBAE,IIKHECDE,GOPBNGFN,RFUOPRGP
2794,充沛,chōng pèi,abundant,ʈʂʰʊŋpʰeɪ,True,TTVNPVV,BBFDECFAA,IIKHEGKDH,GOPBNCPMB,RFUOPIULL
2795,充实,chōng shí,rich,ʈʂʰʊŋʂɨ,True,TTVNTV,BBFDEBA,IIKHEIH,GOPBNOL,RFUOPFS
2796,充足,chōng zú,adequate,ʈʂʰʊŋtsu,True,TTVNTTV,BBFDEBBD,IIKHECIF,GOPBNGGD,RFUOPRFK
2797,崇拜,chóng bài,to worship,ʈʂʰʊŋpaɪ,True,TTVNPVV,BBFDECAA,IIKHEGDH,GOPBNCFB,RFUOPIGL
2798,崇高,chóng gāo,majestic,ʈʂʰʊŋkɑʊ,True,TTVNKVV,BBFDEEAD,IIKHEEDH,GOPBNEFB,RFUOPEGO
2799,崇敬,chóng jìng,to revere,ʈʂʰʊŋtɕiŋ,True,TTVNTKVN,BBFDEBBAE,IIKHECBHE,GOPBNGOLN,RFUOPRMSP
2800,重叠,chóng dié,to overlap,ʈʂʰʊŋtjɛ,True,TTVNTRV,BBFDEBAA,IIKHECHA,GOPBNGLM,RFUOPRCL
2801,重阳节,Chóng yáng jié,Double Ninth or Yang Festival,ʈʂʰʊŋjɑŋtɕjɛ,True,TTVNRVNTKRV,BBFDEAAEBBAA,IIKHEHDECBHA,GOPBNLFNGOLM,RFUOPCGPRMCL
2802,抽空,chōu kòng,to find the time to do sth,ʈʂʰoʊkʰʊŋ,True,TTVVKVN,BBFDDEFDE,IIKAHEKHE,GOPIBEPBN,RFUBOEUOP
2803,筹备,chóu bèi,preparations,ʈʂʰoʊpeɪ,True,TTVVPVV,BBFDDCAA,IIKAHGDH,GOPIBCMB,RFUBOILL
2804,踌躇,chóu chú,to hesitate,ʈʂʰoʊʈʂʰu,True,TTVVTTV,BBFDDBBFD,IIKAHIIKF,GOPIBGOPD,RFUBORFUK
2805,稠密,chóu mì,dense,ʈʂʰoʊmi,True,TTVVMV,BBFDDCA,IIKAHGH,GOPIBKL,RFUBOIS
2806,丑恶,chǒu è,ugly,ʈʂʰoʊɤ,True,TTVVV,BBFDDA,IIKAHD,GOPIBI,RFUBOB
2807,出路,chū lù,a way out (of a difficulty etc),ʈʂʰulu,True,TTVRV,BBFDBD,IIKFCF,GOPDJD,RFUKJK
2808,出卖,chū mài,to offer for sale,ʈʂʰumaɪ,True,TTVMVV,BBFDCAA,IIKFGDH,GOPDKFB,RFUKIGL
2809,出身,chū shēn,to be born of,ʈʂʰuʂən,True,TTVTVN,BBFDBAC,IIKFIAC,GOPDOBK,RFUKFLA
2810,出神,chū shén,entranced,ʈʂʰuʂən,True,TTVTVN,BBFDBAC,IIKFIAC,GOPDOBK,RFUKFLA
2811,出息,chū xi,future prospects,ʈʂʰuɕi,True,TTVKV,BBFDBA,IIKFBH,GOPDOL,RFUKMS
2812,出洋相,chū yáng xiàng,to make a fool of oneself,ʈʂʰujɑŋɕjɑŋ,True,TTVRVNKRVN,BBFDAAEBAAE,IIKFHDEBHDE,GOPDLFNOLFN,RFUKCGPMCGP
2813,初步,chū bù,initial,ʈʂʰupu,True,TTVPV,BBFDCD,IIKFGF,GOPDCD,RFUKIK
2814,储备,chǔ bèi,reserves,ʈʂʰupeɪ,True,TTVPVV,BBFDCAA,IIKFGDH,GOPDCMB,RFUKILL
2815,储存,chǔ cún,stockpile,ʈʂʰutsʰwən,True,TTVTTRVN,BBFDBBFDAC,IIKFCIKFAC,GOPDGGPDBK,RFUKRFUQLA
2816,储蓄,chǔ xù,to deposit money,ʈʂʰuɕy,True,TTVKV,BBFDBD,IIKFBF,GOPDOD,RFUKMK
2817,处分,chǔ fèn,to discipline sb,ʈʂʰufən,True,TTVPVN,BBFDCAC,IIKFGAC,GOPDCBK,RFUKNLA
2818,处境,chǔ jìng,plight,ʈʂʰutɕiŋ,True,TTVTKVN,BBFDBBAE,IIKFCBHE,GOPDGOLN,RFUKRMSP
2819,处置,chǔ zhì,to handle,ʈʂʰuʈʂɨ,True,TTVTTV,BBFDBBA,IIKFIIH,GOPDGOL,RFUKRFS
2820,触犯,chù fàn,to offend,ʈʂʰufan,True,TTVPVN,BBFDCAC,IIKFGDC,GOPDCFK,RFUKNGA
2821,穿越,chuān yuè,to pass through,ʈʂʰwanɥœ,True,TTRVNRV,BBFDACDA,IIKFDCFA,GOPDFKDM,RFUQGAQL
2822,川流不息,chuān liú bù xī,the stream flows without stopping (idiom); unending flow,ʈʂʰwanljoʊpuɕi,True,TTRVNRRVVPVKV,BBFDACBADDCDBA,IIKFDCCHAHGFBH,GOPDFKJLIBCDOL,RFUQGAJCBOIKMS
2823,船舶,chuán bó,shipping,ʈʂʰwanpwɔ,True,TTRVNPRV,BBFDACCDA,IIKFDCGFA,GOPDFKCDI,RFUQGAIQB
2824,传达,chuán dá,to pass on,ʈʂʰwanta,True,TTRVNTV,BBFDACBA,IIKFDCCD,GOPDFKGF,RFUQGARG
2825,传单,chuán dān,leaflet,ʈʂʰwantan,True,TTRVNTVN,BBFDACBAC,IIKFDCCDC,GOPDFKGFK,RFUQGARGA
2826,传授,chuán shòu,to impart,ʈʂʰwanʂoʊ,True,TTRVNTVV,BBFDACBDD,IIKFDCIAH,GOPDFKOIB,RFUQGAFBO
2827,喘气,chuǎn qì,to breathe deeply,ʈʂʰwantɕʰi,True,TTRVNTKV,BBFDACBBFA,IIKFDCCBKH,GOPDFKGOPL,RFUQGARMUS
2828,串,chuàn,to string together,ʈʂʰwan,True,TTRVN,BBFDAC,IIKFDC,GOPDFK,RFUQGA
2829,床单,chuáng dān,bed sheet,ʈʂʰwɑŋtan,True,TTRVNTVN,BBFDAEBAC,IIKFDECDC,GOPDFNGFK,RFUQGPRGA
2830,创立,chuàng lì,to establish,ʈʂʰwɑŋli,True,TTRVNRV,BBFDAEBA,IIKFDECH,GOPDFNJL,RFUQGPJS
2831,创新,chuàng xīn,innovation,ʈʂʰwɑŋɕin,True,TTRVNKVN,BBFDAEBAC,IIKFDEBHC,GOPDFNOLK,RFUQGPMSA
2832,创业,chuàng yè,to begin an undertaking,ʈʂʰwɑŋjɛ,True,TTRVNRV,BBFDAEAA,IIKFDEHA,GOPDFNLM,RFUQGPCL
2833,创作,chuàng zuò,to create,ʈʂʰwɑŋtswɔ,True,TTRVNTTRV,BBFDAEBBDA,IIKFDECIFA,GOPDFNGGDI,RFUQGPRFQB
2834,吹牛,chuī niú,to talk big,ʈʂʰweɪnjoʊ,True,TTRVVNRVV,BBFDAACADD,IIKFDHCHAH,GOPDMBKLIB,RFUQLLACBO
2835,吹捧,chuī pěng,to flatter,ʈʂʰweɪpʰɤŋ,True,TTRVVPVN,BBFDAACFAE,IIKFDHGKDE,GOPDMBCPIN,RFUQLLIUBP
2836,锤,chuí,hammer,ʈʂʰweɪ,True,TTRVV,BBFDAA,IIKFDH,GOPDMB,RFUQLL
2837,垂直,chuí zhí,perpendicular,ʈʂʰweɪʈʂɨ,True,TTRVVTTV,BBFDAABBA,IIKFDHIIH,GOPDMBGOL,RFUQLLRFS
2838,纯粹,chún cuì,purely,ʈʂʰwəntsʰweɪ,True,TTRVNTTRVV,BBFDACBBFDAA,IIKFACCIKFDH,GOPDBKGGPDMB,RFUQLARFUQLL
2839,纯洁,chún jié,pure,ʈʂʰwəntɕjɛ,True,TTRVNTKRV,BBFDACBBAA,IIKFACCBHA,GOPDBKGOLM,RFUQLARMCL
2840,词汇,cí huì,vocabulary,tsʰɯxweɪ,True,TTVKRVV,BBFAEDAA,CIKHEFDH,GGPBEDMB,RFUOEQLL
2841,慈祥,cí xiáng,kindly,tsʰɯɕjɑŋ,True,TTVKRVN,BBFABAAE,CIKHBHDE,GGPBOLFN,RFUOMCGP
2842,雌雄,cí xióng,male and female,tsʰɯɕjʊŋ,True,TTVKRVN,BBFABADE,CIKHBHHE,GGPBOLBN,RFUOMCOP
2843,刺,cì,thorn,tsʰɯ,True,TTV,BBFA,CIKH,GGPB,RFUO
2844,次品,cì pǐn,substandard products,tsʰɯpʰin,True,TTVPVN,BBFACFAC,CIKHGKHC,GGPBCPLK,RFUOIUSA
2845,次序,cì xù,sequence,tsʰɯɕy,True,TTVKV,BBFABD,CIKHBF,GGPBOD,RFUOMK
2846,伺候,cì hòu,to serve,tsʰɯxoʊ,True,TTVKVV,BBFAEDD,CIKHEAH,GGPBEIB,RFUOEBO
2847,丛,cóng,cluster,tsʰʊŋ,True,TTVN,BBFDE,CIKHE,GGPBN,RFUOP
2848,从容不迫,cóng róng bù pò,calm,tsʰʊŋʐʊŋpupʰwɔ,True,TTVNTVNPVPRV,BBFDEBDECDCFDA,CIKHEIHEGFGKFA,GGPBNABNCDCPDI,RFUOPHOPIKIUQB
2849,凑合,còu he,to bring together,tsʰoʊxɤ,True,TTVVKV,BBFDDEA,CIKAHED,GGPIBEI,RFUBOEB
2850,粗鲁,cū lǔ,crude,tsʰulu,True,TTVRV,BBFDBD,CIKFCF,GGPDJD,RFUKJK
2851,窜,cuàn,to flee,tsʰwan,True,TTRVN,BBFDAC,CIKFDC,GGPDFK,RFUQGA
2852,摧残,cuī cán,to ravage,tsʰweɪtsʰan,True,TTRVVTTVN,BBFDAABBFAC,CIKFDHCIKDC,GGPDMBGGPFK,RFUQLLRFUGA
2853,脆弱,cuì ruò,weak,tsʰweɪʐwɔ,True,TTRVVTRV,BBFDAABDA,CIKFDHIFA,GGPDMBADI,RFUQLLHQB
2854,搓,cuō,to rub or roll between the hands or fingers,tsʰwɔ,True,TTRV,BBFDA,CIKFA,GGPDI,RFUQB
2855,磋商,cuō shāng,to consult,tsʰwɔʂɑŋ,True,TTRVTVN,BBFDABAE,CIKFAIDE,GGPDIOFN,RFUQBFGP
2856,挫折,cuò zhé,setback,tsʰwɔʈʂɤ,True,TTRVTTV,BBFDABBA,CIKFAIID,GGPDIGOI,RFUQBRFB
2857,搭,dā,to put up,ta,True,TV,BA,CD,GF,RG
2858,搭档,dā dàng,to cooperate,tatɑŋ,True,TVTVN,BABAE,CDCDE,GFGFN,RGRGP
2859,搭配,dā pèi,to pair up,tapʰeɪ,True,TVPVV,BACFAA,CDGKDH,GFCPMB,RGIULL
2860,答辩,dá biàn,to reply (to an accusation),tapjɛn,True,TVPRVN,BACAAC,CDGHAC,GFCLMK,RGICLA
2861,答复,dá fù,to answer,tafu,True,TVPV,BACD,CDGF,GFCD,RGNK
2862,达成,dá chéng,to reach (an agreement),taʈʂʰɤŋ,True,TVTTVN,BABBFAE,CDIIKDE,GFGOPIN,RGRFUBP
2863,打包,dǎ bāo,to wrap,tapɑʊ,True,TVPVV,BACAD,CDGDH,GFCFB,RGIGO
2864,打官司,dǎ guān si,to file a lawsuit,takwansɯ,True,TVKRVNTV,BAEDACBA,CDEFDCIH,GFEDFKGB,RGEQGAFO
2865,打击,dǎ jī,to hit,tatɕi,True,TVTKV,BABBA,CDCBH,GFGOL,RGRMS
2866,打架,dǎ jià,to fight,tatɕja,True,TVTKRV,BABBAA,CDCBHD,GFGOLF,RGRMCG
2867,打量,dǎ liang,to size sb up,taljɑŋ,True,TVRRVN,BABAAE,CDCHDE,GFJLFN,RGJCGP
2868,打猎,dǎ liè,to go hunting,taljɛ,True,TVRRV,BABAA,CDCHA,GFJLM,RGJCL
2869,打仗,dǎ zhàng,to fight a battle,taʈʂɑŋ,True,TVTTVN,BABBAE,CDIIDE,GFGOFN,RGRFGP
2870,大不了,dà bù liǎo,at worst,tapuljɑʊ,True,TVPVRRVV,BACDBAAD,CDGFCHDH,GFCDJLFB,RGIKJCGO
2871,大臣,dà chén,chancellor (of a monarchy),taʈʂʰən,True,TVTTVN,BABBFAC,CDIIKAC,GFGOPBK,RGRFULA
2872,大伙儿,dà huǒ r,erhua variant of 大伙[dà huǒ],taxwɔɻ,True,TVKRVR,BAEDAA,CDEFAI,GFEDIJ,RGEQBC
2873,大厦,dà shà,large building,taʂa,True,TVTV,BABA,CDID,GFOF,RGFG
2874,大肆,dà sì,wantonly,tasɯ,True,TVTV,BABA,CDIH,GFGB,RGFO
2875,大体,dà tǐ,in general,tatʰi,True,TVTV,BABFA,CDCKH,GFGPL,RGRUS
2876,大意,dà yi,careless,tai,True,TVV,BAA,CDH,GFL,RGS
2877,大致,dà zhì,more or less,taʈʂɨ,True,TVTTV,BABBA,CDIIH,GFGOL,RGRFS
2878,歹徒,dǎi tú,evil-doer,taɪtʰu,True,TVVTV,BAABFD,CDHCKF,GFBGPD,RGLRUK
2879,带领,dài lǐng,to guide,taɪliŋ,True,TVVRVN,BAABAE,CDHCHE,GFBJLN,RGLJSP
2880,代价,dài jià,price,taɪtɕja,True,TVVTKRV,BAABBAA,CDHCBHD,GFBGOLF,RGLRMCG
2881,代理,dài lǐ,to act on behalf of sb in a responsible position,taɪli,True,TVVRV,BAABA,CDHCH,GFBJL,RGLJS
2882,逮捕,dài bǔ,to arrest,taɪpu,True,TVVPV,BAACD,CDHGF,GFBCD,RGLIK
2883,怠慢,dài màn,to slight,taɪman,True,TVVMVN,BAACAC,CDHGDC,GFBKFK,RGLIGA
2884,担保,dān bǎo,to guarantee,tanpɑʊ,True,TVNPVV,BACCAD,CDCGDH,GFKCFB,RGAIGO
2885,胆怯,dǎn qiè,timid,tantɕʰjɛ,True,TVNTKRV,BACBBFAA,CDCCBKHA,GFKGOPLM,RGARMUCL
2886,淡季,dàn jì,off season,tantɕi,True,TVNTKV,BACBBA,CDCCBH,GFKGOL,RGARMS
2887,淡水,dàn shuǐ,potable water (water with low salt content),tanʂweɪ,True,TVNTRVV,BACBDAA,CDCIFDH,GFKODMB,RGAFQLL
2888,蛋白质,dàn bái zhì,protein,tanpaɪʈʂɨ,True,TVNPVVTTV,BACCAABBA,CDCGDHIIH,GFKCFBGOL,RGAIGLRFS
2889,诞辰,dàn chén,birthday,tanʈʂʰən,True,TVNTTVN,BACBBFAC,CDCIIKAC,GFKGOPBK,RGARFULA
2890,诞生,dàn shēng,to be born,tanʂɤŋ,True,TVNTVN,BACBAE,CDCIDE,GFKOIN,RGAFBP
2891,当场,dāng chǎng,at the scene,tɑŋʈʂʰɑŋ,True,TVNTTVN,BAEBBFAE,CDEIIKDE,GFNGOPFN,RGPRFUGP
2892,当初,dāng chū,at that time,tɑŋʈʂʰu,True,TVNTTV,BAEBBFD,CDEIIKF,GFNGOPD,RGPRFUK
2893,当面,dāng miàn,to sb's face,tɑŋmjɛn,True,TVNMRVN,BAECAAC,CDEGHAC,GFNKLMK,RGPICLA
2894,当前,dāng qián,current,tɑŋtɕʰjɛn,True,TVNTKRVN,BAEBBFAAC,CDECBKHAC,GFNGOPLMK,RGPRMUCLA
2895,当事人,dāng shì rén,persons involved or implicated,tɑŋʂɨʐən,True,TVNTVTVN,BAEBABAC,CDEIHIAC,GFNOLABK,RGPFSHLA
2896,当务之急,dāng wù zhī jí,top priority job,tɑŋuʈʂɨtɕi,True,TVNVTTVTKV,BAEDBBABBA,CDEFIIHCBH,GFNDGOLGOL,RGPKRFSRMS
2897,当心,dāng xīn,to take care,tɑŋɕin,True,TVNKVN,BAEBAC,CDEBHC,GFNOLK,RGPMSA
2898,当选,dāng xuǎn,to be elected,tɑŋɕɥœn,True,TVNKRVN,BAEBDAC,CDEBFAC,GFNODMK,RGPMQLA
2899,党,dǎng,party,tɑŋ,True,TVN,BAE,CDE,GFN,RGP
2900,档案,dàng àn,file,tɑŋan,True,TVNVN,BAEAC,CDEDC,GFNFK,RGPGA
2901,档次,dàng cì,grade,tɑŋtsʰɯ,True,TVNTTV,BAEBBFA,CDECIKH,GFNGGPB,RGPRFUO
2902,岛屿,dǎo yǔ,island,tɑʊy,True,TVVV,BADD,CDHF,GFBD,RGOK
2903,倒闭,dǎo bì,to go bankrupt,tɑʊpi,True,TVVPV,BADCA,CDHGH,GFBCL,RGOIS
2904,导弹,dǎo dàn,guided missile,tɑʊtan,True,TVVTVN,BADBAC,CDHCDC,GFBGFK,RGORGA
2905,导航,dǎo háng,navigation,tɑʊxɑŋ,True,TVVKVN,BADEAE,CDHEDE,GFBEFN,RGOEGP
2906,导向,dǎo xiàng,to be oriented towards,tɑʊɕjɑŋ,True,TVVKRVN,BADBAAE,CDHBHDE,GFBOLFN,RGOMCGP
2907,捣乱,dǎo luàn,to disturb,tɑʊlwan,True,TVVRRVN,BADBDAC,CDHCFDC,GFBJDFK,RGOJQGA
2908,稻谷,dào gǔ,rice crops,tɑʊku,True,TVVKV,BADED,CDHEF,GFBED,RGOEK
2909,盗窃,dào qiè,to steal,tɑʊtɕʰjɛ,True,TVVTKRV,BADBBFAA,CDHCBKHA,GFBGOPLM,RGORMUCL
2910,得不偿失,dé bù cháng shī,(saying) the gains do not make up for the losses,tɤpuʈʂʰɑŋʂɨ,True,TVPVTTVNTV,BACDBBFAEBA,CDGFIIKDEIH,GICDGOPFNOL,RBIKRFUGPFS
2911,得力,dé lì,able,tɤli,True,TVRV,BABA,CDCH,GIJL,RBJS
2912,得天独厚,dé tiān dú hòu,(of an area) rich in resources,tɤtʰjɛntuxoʊ,True,TVTRVNTVKVV,BABFAACBDEDD,CDCKHACCFEAH,GIGPLMKGDEIB,RBRUCLARKEBO
2913,得罪,dé zuì,to commit an offense,tɤtsweɪ,True,TVTTRVV,BABBDAA,CDCIFDH,GIGGDMB,RBRFQLL
